Length;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2014;2015;2016
52;172313;94379;142131;345311;678515;650015;469394;296234;223838;274585;363366;520160;388494;287476;232212;208112;265319;245685;213119;145666;116399;78326;60957;189024;41153
53;113622;53169;101456;223313;506736;471671;335916;209894;157934;193483;256787;484713;390100;235895;206615;171730;198882;203091;181658;132552;80516;58027;42602;148577;26913
54;83279;37659;61383;221494;351038;436098;274241;170290;128164;157024;208366;334989;331419;221910;158144;142267;148653;199118;129333;85423;83890;57849;36269;125430;32974
55;69062;25696;48820;142001;192340;275436;213858;112453;84542;103543;137503;180907;273394;198821;156203;127452;131734;149770;115768;67687;75997;53092;33403;129667;24728
56;51555;9804;43979;78941;153563;205874;161563;82017;61632;75472;100258;139298;234473;141809;131091;124035;93841;134458;107975;120511;64051;56651;22366;100362;18887
57;17564;14983;33770;74594;118456;184458;139599;67882;50954;62376;82923;88400;166524;99257;89668;88181;77377;108818;81310;47160;48358;51852;12404;74797;14278
58;26935;3724;22092;52131;56902;125283;82880;43035;32303;39544;52570;32869;120530;72688;78151;71064;69513;104551;61601;52828;38318;49166;17106;66555;15924
59;14994;1717;17500;37254;47770;102260;41893;30637;22997;28152;37425;29113;98521;48036;50004;60188;53489;77924;42876;53976;35857;42385;9135;51009;10976
60;13876;667;13507;24124;31541;46092;42026;19985;15001;18364;24413;27573;75924;35069;46868;52339;53444;59725;39765;25225;29351;34281;7792;38328;8167
61;6305;667;14728;22609;10500;52075;17937;14516;10896;13338;17732;25653;49744;22285;34668;38699;23517;45714;31112;17960;20333;22358;4440;26432;5280
62;5494;0;8252;2963;19902;17464;22796;8944;6713;8218;10925;19262;36412;15801;22536;34678;30455;35388;28307;16021;16412;19466;4173;22633;2821
63;0;0;4788;5569;9452;10551;7893;4449;3339;4088;5435;14036;26299;23701;28000;21970;17581;18736;23251;5711;12038;14965;3340;14348;3098
64;0;0;3600;2412;3127;8650;3927;2526;1896;2321;3086;13220;14175;7595;13500;20768;17152;18543;11490;11235;11279;14844;2352;12938;1426
65;0;0;849;3740;3244;2780;2739;1552;1165;1426;1896;6261;10134;4947;14723;7076;12714;15910;11865;6490;8843;6681;1041;7666;2392
66;0;0;0;848;1336;5111;2306;1118;839;1027;1366;6045;11090;9712;2431;7708;9932;11840;11851;4890;6933;7828;474;6175;150
67;1335;0;0;551;2045;0;1044;578;434;531;706;0;5028;2082;6102;6196;11587;8843;6575;4486;6509;5091;1490;5652;150
68;1004;0;0;551;0;431;0;230;173;212;281;2259;5101;2900;4082;4136;5806;7524;6360;937;3569;5591;1531;4148;368
69;0;0;0;0;2549;0;0;296;222;272;362;1565;4590;2658;2556;3554;6932;8524;4500;3978;4145;2023;746;3633;0
70;1979;0;0;0;0;3900;0;684;513;628;835;0;2255;2322;628;3022;3481;7469;2632;3265;3732;1972;1331;2349;865
71;0;0;0;0;0;0;0;0;0;0;0;0;1876;754;1473;1177;3784;8262;3695;583;2360;1068;272;853;784
72;0;0;0;0;0;0;0;0;0;0;0;0;0;2981;1427;670;2818;4212;1304;158;764;1951;272;286;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;1559;2477;460;1859;2683;1565;0;1163;723;0;254;95
74;0;0;0;0;0;0;0;0;0;0;0;0;1542;931;1978;388;280;4051;2426;983;856;965;0;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;431;161;659;1257;1920;1332;0;887;318;0;470;784
76;0;0;0;0;0;0;0;0;0;0;0;2465;0;0;0;506;1098;0;533;158;859;304;0;36;112
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579;0;481;1927;1127;0;1424;646;0;36;784
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;740;337;0;0;732;189;0;73;0
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;177;0;556;392;0;130;674;0;36;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;670;460;0;0;134;133;152;116;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1173;212;0;0;53;0;0;0
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;478;0
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;784
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478;0
